"id","recipe_id","name","quantity","position","created_at","updated_at"
7460481,1014225,"薄力粉","90g",0,"2010-01-18 19:35:52","2010-01-18 19:35:52"
7460482,1014225,"純ココア","大匙2",1,"2010-01-18 19:35:52","2010-01-18 19:35:52"
7460483,1014225,"粉砂糖","25g",2,"2010-01-18 19:35:52","2010-01-18 19:35:52"
7460501,1014225,"アーモンドプードル","35g",3,"2010-01-18 19:39:10","2010-01-18 19:39:10"
7460509,1014225,"無塩バター","75g",4,"2010-01-18 19:39:38","2010-01-18 19:39:38"
7460502,1014225,"☆アイシング","",5,"2010-01-18 19:39:10","2010-01-18 19:39:10"
7460503,1014225,"卵白","10g",6,"2010-01-18 19:39:10","2010-01-18 19:39:10"
7460504,1014225,"粉砂糖","50g",7,"2010-01-18 19:39:10","2010-01-18 19:39:10"
7460505,1014225,"アラザン、チョコペンなど","適宜",8,"2010-01-18 19:39:10","2010-01-18 19:39:10"
7471115,1015476,"春菊","1把",1,"2010-01-20 08:31:00","2010-01-20 08:31:00"
7471116,1015476,"☆練り胡麻","大匙１",2,"2010-01-20 08:31:00","2010-01-20 08:31:00"
7471117,1015476,"☆合わせみそ","大匙１",3,"2010-01-20 08:31:00","2010-01-20 08:31:00"
7471127,1015476,"☆みりん","大匙１",4,"2010-01-20 08:32:54","2010-01-20 08:32:54"
7471128,1015476,"☆砂糖","大匙１",5,"2010-01-20 08:32:54","2010-01-20 08:32:54"
7471129,1015476,"☆すりごま","大匙１",6,"2010-01-20 08:32:54","2010-01-20 08:32:54"
7471155,1015482,"☆お粥","",1,"2010-01-20 08:40:48","2010-01-20 08:40:48"
7471156,1015482,"米","1/2合",2,"2010-01-20 08:40:48","2010-01-20 08:40:48"
7471157,1015482,"水","800～900cc",3,"2010-01-20 08:40:48","2010-01-20 08:40:48"
7471192,1015482,"塩昆布","大匙１",4,"2010-01-20 08:47:13","2010-01-20 08:47:13"
7471193,1015482,"★あんかけ","",5,"2010-01-20 08:47:13","2010-01-20 08:47:13"
7471194,1015482,"だし汁","200cc",6,"2010-01-20 08:47:13","2010-01-20 08:47:13"
7471198,1015482,"醤油","大匙1/2",7,"2010-01-20 08:47:13","2010-01-20 08:47:13"
7471199,1015482,"みりん","大匙1/2",8,"2010-01-20 08:47:13","2010-01-20 08:47:13"
7471205,1015482,"おろし生姜","大匙１",9,"2010-01-20 08:54:56","2010-01-20 08:54:56"
7471195,1015482,"しめじ","1/2パック",10,"2010-01-20 08:47:13","2010-01-20 08:47:13"
7471196,1015482,"えのき","1/4パック",11,"2010-01-20 08:47:13","2010-01-20 08:47:13"
7471197,1015482,"鶏肉（お好みで。ハムやベーコンでもいい）","適量",12,"2010-01-20 08:47:13","2010-01-20 08:47:13"
7471200,1015482,"塩","ひとつまみ",13,"2010-01-20 08:47:13","2010-01-20 08:47:13"
7471203,1015482,"片栗粉","大匙1/2",14,"2010-01-20 08:52:09","2010-01-20 08:52:09"
7471204,1015482,"水","大匙１～",15,"2010-01-20 08:52:09","2010-01-20 08:52:09"
7504332,1019411,"卵","2~3個",1,"2010-01-24 21:02:43","2010-01-24 21:02:43"
7504417,1019411,"塩コショウ","少々",2,"2010-01-24 21:05:04","2010-01-24 21:05:04"
7504333,1019411,"食パン","２枚",3,"2010-01-24 21:02:43","2010-01-24 21:02:43"
7504334,1019411,"マヨネーズ","適量",4,"2010-01-24 21:02:43","2010-01-24 21:02:43"
7504418,1019411,"レタス","１~2枚",5,"2010-01-24 21:05:04","2010-01-24 21:05:04"
7504419,1019411,"お好み焼きのソース","適量",6,"2010-01-24 21:05:04","2010-01-24 21:05:04"
7504420,1019411,"かつお節","適量",7,"2010-01-24 21:05:04","2010-01-24 21:05:04"
9042080,1201181,"パスタ","200g",1,"2010-08-02 10:25:25","2010-08-02 10:25:25"
9042081,1201181,"ねぎ","1本",2,"2010-08-02 10:25:25","2010-08-02 10:25:25"
9042082,1201181,"桜エビ","大さじ３～（お好みで）",3,"2010-08-02 10:25:25","2010-08-02 10:25:25"
9048189,1201181,"にら","適量（お好みで）",4,"2010-08-03 10:27:46","2010-08-03 10:27:46"
9042110,1201181,"サラダ油orごま油","大さじ２～",5,"2010-08-02 10:29:07","2010-08-02 10:29:07"
9042111,1201181,"醤油","大さじ１",6,"2010-08-02 10:29:07","2010-08-02 10:29:07"
9042112,1201181,"パスタのゆで汁","100cc前後",7,"2010-08-02 10:29:07","2010-08-02 10:29:07"
9042113,1201181,"塩コショウ","適宜",8,"2010-08-02 10:29:07","2010-08-02 10:29:07"
9118573,1210332,"なす","２本",1,"2010-08-14 16:05:03","2010-08-14 16:05:03"
9118574,1210332,"オクラ","５本くらい",2,"2010-08-14 16:05:03","2010-08-14 16:05:03"
9118575,1210332,"赤パプリカ","1/4個",3,"2010-08-14 16:05:03","2010-08-14 16:05:03"
9118576,1210332,"揚げ油","適量",4,"2010-08-14 16:07:06","2010-08-14 16:07:06"
9118577,1210332,"だし汁","50cc",5,"2010-08-14 16:07:06","2010-08-14 16:07:06"
9118578,1210332,"醤油","50cc",6,"2010-08-14 16:07:06","2010-08-14 16:07:06"
9118579,1210332,"かつお節","適量",7,"2010-08-14 16:07:06","2010-08-14 16:07:06"
9118631,1210332,"（あれば）黒七味","適量",8,"2010-08-14 16:21:01","2010-08-14 16:21:01"
