"id","recipe_id","position","photo_saved_at","memo","created_at","updated_at"
5088664,1014225,1,,"フードプロセッサーに薄力粉から無塩バターまでの材料を入れて回す。","2010-01-18 19:35:52","2010-08-16 09:55:59"
5088665,1014225,2,,"バターがなじみ、サラサラした状態からポロポロと生地がまとまりかけてきたらストップ。","2010-01-18 19:35:52","2010-01-18 20:54:55"
5088666,1014225,3,,"手のひらで梅干しくらいの大きさに丸め、天板に並べる。","2010-01-18 19:35:52","2010-01-18 20:54:55"
5088667,1014225,4,,"180度に余熱したオーブンで、15~18分ほど焼けばできあがり。","2010-01-18 19:35:52","2010-01-18 20:54:55"
5089173,1014225,5,,"アイシングを作る。卵白に粉砂糖を混ぜていき、なめらかな状態にする。ゆるすぎる場合は粉砂糖を少し足して調整してください。","2010-01-18 20:50:24","2010-01-18 20:54:55"
5089177,1014225,6,,"余熱のとれたクッキーに、５のアイシングをスプーンですくって乗せる。アラザンやチョコペンなどで好きにアレンジしてください。","2010-01-18 20:51:13","2010-01-18 20:54:55"
12728926,1014225,7,,"ID:1948118 のロシアンクッキーのレシピが元です。粉の一部をココアに変更すればバレンタインバージョン♪","2013-11-29 14:17:36","2014-04-18 14:30:49"
5095735,1015476,1,,"春菊は熱湯でさっとゆで、水にとって冷ます。3～4センチに切り分けて水気を絞る。","2010-01-20 08:31:00","2010-01-20 08:35:44"
5095736,1015476,2,,"☆の材料を合わせる。練り胡麻と味噌を合わせてから、砂糖、みりんを加え、最後にすり胡麻の順にするとなじみやすいです。","2010-01-20 08:31:00","2010-01-20 08:35:44"
5095737,1015476,3,,"ボウルに春菊と②の胡麻味噌を大匙１ほど加え、和えればできあがり。","2010-01-20 08:31:00","2010-01-20 08:35:44"
5095766,1015482,1,,"お粥を炊く。 ☆の材料を鍋に入れ、蓋をして強火にかける。沸騰したら弱火にし、30～40分コトコト煮る。","2010-01-20 08:40:48","2010-01-20 08:56:55"
5095767,1015482,2,,"お粥を炊いている間にあんかけ準備。 別の鍋にだし汁、おろし生姜、醤油、みりんを入れて火にかける。","2010-01-20 08:40:48","2010-01-20 08:56:55"
5095768,1015482,3,,"２に、適度の大きさに切ったしめじとえのきを入れる。食べやすい大きさに切った鶏肉も入れる。 （アクが出ればすくいます）","2010-01-20 08:40:48","2010-01-20 08:56:55"
5095769,1015482,4,,"塩で味を調え、水溶き片栗粉を回し入れてとろみをつける。","2010-01-20 08:40:48","2010-01-20 08:56:55"
5095799,1015482,5,,"炊きあがったお粥を器によそい、４のあんかけをかけて出来上がり。写真は青みに春菊の葉先を散らしています。","2010-01-20 08:53:07","2010-01-20 08:56:55"
5118436,1019411,1,,"卵を割りほぐし、塩コショウでお好みに味付け。熱したフライパンに油（分量がい）をしき、スクランブルエッグを作る。","2010-01-24 21:02:43","2010-01-24 22:02:58"
5118437,1019411,2,,"２枚の食パンの片面にマヨネーズを塗る。うち１枚にレタスを乗せ、更に１の卵焼きを乗せる。","2010-01-24 21:02:43","2010-01-24 22:03:05"
5118438,1019411,3,"2010-01-24 21:09:03","お好み焼きソースをかけ、かつおぶしを散らし、もう１枚の食パンでサンド。","2010-01-24 21:02:43","2010-01-24 22:03:13"
5118439,1019411,4,,"私はこの状態でトースターに１~２分かけ、表面にパリっと焼き目をつけます。","2010-01-24 21:02:43","2010-01-24 22:04:26"
6132670,1201181,1,,"鍋にたっぷりの湯を沸かし、パスタを茹で始める。※沸かす前に塩（適量・分量外）を加えておく。","2010-08-02 10:25:25","2010-08-03 11:46:20"
6132671,1201181,2,,"パスタを茹でている間に具の準備。ねぎは斜めに細く切っておく。深めのフライパンに油をしき、ねぎと桜エビを入れて火にかける。","2010-08-02 10:25:25","2010-08-03 10:25:55"
6132672,1201181,3,,"ねぎがしんなりしてきたら、ざっと醤油を回しかけて香ばしい香りを出す。","2010-08-02 10:25:25","2010-08-03 11:46:49"
6132673,1201181,4,,"隣の鍋からパスタの茹で汁を拝借して３に投入。油と水分を乳化させます。馴染んだら、程良い長さに切ったにらを投入。","2010-08-02 10:25:25","2010-08-03 11:47:30"
6136743,1201181,5,,"塩コショウで味を調えたら火を止め、茹であがったパスタをあえれば出来上がり。","2010-08-03 10:29:44","2010-08-03 10:31:34"
6182401,1210332,1,,"なすはへたを落とし、縦半分に切ってから斜めに細かく切り目を入れ、食べやすい大きさに切る。そしてしばらく水にさらしておく。","2010-08-14 16:05:03","2010-08-14 16:08:32"
6182402,1210332,2,,"オクラは斜め半分に切る。パプリカも食べやすい大きさに切っておく。ボウルにだし汁と醤油を合わせておく","2010-08-14 16:05:03","2010-08-14 16:10:35"
6182403,1210332,3,,"揚げ油を熱し、野菜を順に揚げていく。なすはじっくり目に。他の野菜はさっと油通しするくらいの感覚で。","2010-08-14 16:05:03","2010-08-14 16:15:37"
6182404,1210332,4,,"揚げたらキッチンペーパーを敷いた網に上げてさっと油を切り、熱いうちに出汁醤油のボウルにジュッとつける。","2010-08-14 16:05:03","2010-08-14 16:16:58"
6182438,1210332,5,,"冷蔵庫で冷やしたら器に取り分け、かつお節と。あれば黒七味をふっていただきます。","2010-08-14 16:17:03","2010-08-14 16:21:27"
6182497,1210353,1,,"イカは皮を剥き、胴とエンペラは7ミリ幅くらいに切る。ゲソも食べやすい大きさに切り分けます。","2010-08-14 16:43:49","2010-08-14 16:49:30"
6182498,1210353,2,,"タマネギとパプリカは細かい千切りに。スライサーを使うといいです。※辛みの強いタマネギなら、水にさらすと良いです。","2010-08-14 16:43:49","2010-08-14 16:50:35"
6182499,1210353,3,,"鍋に湯を沸かし、１のイカをさっと湯通し。火を入れ過ぎると身が硬くなってしまうので、さっと！","2010-08-14 16:43:49","2010-08-14 16:51:37"
6182500,1210353,4,,"ボウルにマリネ液の材料を混ぜておきます。イカと野菜を漬けこみ、冷蔵庫で冷やし、彩りに刻んだ大葉を散らせば出来上がりです。","2010-08-14 16:43:49","2011-07-14 11:45:02"
6185289,1210855,1,,"じゃがいもは洗って皮つきのまま鍋に入れ、たっぷりの水を注いで火にかける。水からしっかり、竹串がスッと通るまで茹でる。","2010-08-15 14:32:45","2010-08-15 14:41:46"
6185290,1210855,2,,"じゃがいもを茹でている間にタマネギをスライス。水にさらし、何度か水をかえてざるにあげ、布きんなどにくるんで水気を切る。","2010-08-15 14:32:45","2010-08-15 14:39:46"
6185291,1210855,3,,"ボウルに☆のドレッシングの材料を合わせておく。","2010-08-15 14:32:45","2010-08-15 14:39:59"
6185292,1210855,4,,"じゃがいもが茹であがったら熱いうちに皮を剥き、7ミリくらいの半月切りにして３のボウルに投入。ざっと混ぜ合わせる。","2010-08-15 14:32:45","2010-08-15 14:41:39"
6185308,1210855,5,,"４のボウルにタマネギと刻んだパセリも加え、味を馴染ませるように全体を混ぜ合わせれば出来上がり。","2010-08-15 14:41:11","2010-08-15 14:45:49"
6185344,1210855,6,,"冷蔵庫で冷やすと味が落ち着きます。私は味が馴染んだ翌日のほうがスキです。","2010-08-15 14:45:25","2010-08-15 14:46:12"
6185373,1210868,1,"2010-08-15 15:03:57","【下準備】鶏肉は余分な脂を取り除き、厚さが均一になるように包丁で開く。２つに切り分けておくとソテーしやすいです。","2010-08-15 14:59:41","2010-08-15 15:26:10"
6185374,1210868,2,,"【ラタトゥユを作る】なす、ズッキーニは7ミリくらいの半月切りか銀杏切り。エリンギは縦４つにして1センチ幅くらいに切る。","2010-08-15 14:59:41","2010-08-15 15:26:00"
